Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1315,0,2.57E-05,0.000366601,0.000428546,0.000269497,0.000308766,,0.4421769,1.60183579,0.0000174,2.20E-48,5.14E-64
1316,0,2.55E-05,0.000365394,0.000427163,0.000268583,0.000307732,,0.441525434,1.599864598,0.0000173,2.01E-48,4.56E-64
1317,0,0.000025438,0.000364191,0.000425785,0.000267672,0.000306703,,0.440875423,1.597897326,0.0000173,1.83E-48,4.05E-64
1318,0,2.53E-05,0.000362993,0.000424413,0.000266766,0.000305677,,0.44022686,1.595933963,0.0000172,1.68E-48,3.60E-64
1319,0,2.52E-05,0.000361801,0.000423046,0.000265863,0.000304656,,0.439579742,1.593974499,0.0000171,1.53E-48,3.19E-64
1320,0,2.51E-05,0.000360612,0.000421685,0.000264964,0.000303639,,0.438934065,1.592018924,0.000017,1.40E-48,2.83E-64
1321,0,2.50E-05,0.000359429,0.000420329,0.000264068,0.000302627,,0.438289825,1.590067225,0.0000169,1.28E-48,2.52E-64
1322,0,0.000024916,0.00035825,0.000418979,0.000263176,0.000301618,,0.437647016,1.588119394,0.0000168,1.17E-48,2.23E-64
1323,0,2.48E-05,0.000357077,0.000417633,0.000262288,0.000300613,,0.437005635,1.586175418,0.0000167,1.07E-48,1.98E-64
1324,0,2.47E-05,0.000355907,0.000416294,0.000261404,0.000299613,,0.436365677,1.584235289,0.0000167,9.75E-49,1.76E-64
1325,0,2.46E-05,0.000354743,0.000414959,0.000260523,0.000298617,,0.435727139,1.582298994,0.0000166,8.91E-49,1.56E-64
1326,0,2.45E-05,0.000353583,0.00041363,0.000259646,0.000297624,,0.435090016,1.580366525,0.0000165,8.14E-49,1.39E-64
1327,0,2.44E-05,0.000352428,0.000412306,0.000258772,0.000296636,,0.434454304,1.578437869,0.0000164,7.43E-49,1.23E-64
1328,0,2.43E-05,0.000351278,0.000410987,0.000257902,0.000295652,,0.433819998,1.576513018,0.0000163,6.79E-49,2.57E-64
1329,0,2.42E-05,0.000350132,0.000409673,0.000257035,0.000294672,,0.433187095,1.57459196,0.0000162,6.21E-49,2.57E-64
1330,0,2.41E-05,0.00034899,0.000408365,0.000256173,0.000293695,,0.43255559,1.572674685,0.0000162,5.67E-49,2.57E-64
1331,0,2.40E-05,0.000347854,0.000407062,0.000255313,0.000292723,,0.43192548,1.570761183,0.0000161,5.18E-49,2.57E-64
1332,0,2.39E-05,0.000346721,0.000405763,0.000254457,0.000291754,,0.431296759,1.568851444,0.000016,4.73E-49,2.57E-64
1333,0,2.38E-05,0.000345594,0.00040447,0.000253605,0.00029079,,0.430669425,1.566945457,0.0000159,4.33E-49,2.57E-64
1334,0,2.37E-05,0.00034447,0.000403182,0.000252756,0.000289829,,0.430043472,1.565043213,0.0000158,3.95E-49,2.57E-64
1335,0,2.36E-05,0.000343352,0.0004019,0.000251911,0.000288873,,0.429418897,1.5631447,0.0000158,3.61E-49,2.57E-64
1336,0,2.35E-05,0.000342237,0.000400622,0.000251069,0.00028792,,0.428795696,1.56124991,0.0000157,3.30E-49,2.57E-64
1337,0,2.34E-05,0.000341128,0.000399349,0.00025023,0.000286971,,0.428173865,1.559358832,0.0000156,3.01E-49,2.57E-64
1338,0,2.33E-05,0.000340022,0.000398081,0.000249395,0.000286026,,0.427553399,1.557471455,0.0000155,2.75E-49,2.57E-64
1339,0,2.32E-05,0.000338921,0.000396818,0.000248563,0.000285084,,0.426934295,1.555587771,0.0000154,2.52E-49,2.57E-64
1340,0,2.31E-05,0.000337825,0.00039556,0.000247735,0.000284147,,0.426316549,1.553707768,0.0000154,2.30E-49,2.57E-64
1341,0,2.30E-05,0.000336732,0.000394307,0.00024691,0.000283213,,0.425700156,1.551831438,0.0000153,2.10E-49,2.57E-64
1342,0,2.30E-05,0.000335644,0.000393059,0.000246088,0.000282283,,0.425085113,1.549958769,0.0000152,1.92E-49,2.57E-64
1343,0,0.000022857,0.000334561,0.000391815,0.00024527,0.000281357,,0.424471416,1.548089753,0.0000151,1.75E-49,2.57E-64
1344,0,0.000022764,0.000333481,0.000390577,0.000244455,0.000280434,,0.423859061,1.546224379,0.0000151,1.60E-49,2.57E-64
1345,0,2.27E-05,0.000332406,0.000389343,0.000243644,0.000279515,,0.423248043,1.544362638,0.000015,1.46E-49,2.57E-64
