Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
263,0,0.008552845,0.031860883,0.033405936,0.027413502,0.02776321,,0.498421159,1.182342927,0.009991226,7.24E-09,1.75E-11
264,0,0.00839555,0.031405419,0.032934738,0.027008752,0.027355699,,0.494701674,1.175034536,0.009799779,6.57E-09,1.55E-11
265,0,0.008241677,0.030958079,0.032471866,0.026611404,0.026955608,,0.491023852,1.167798695,0.009612563,0.000000006,1.37E-11
266,0,0.00809114,0.03051869,0.032017143,0.026221297,0.026562776,,0.487387071,1.160634415,0.00942947,5.41E-09,1.21E-11
267,0,0.007943857,0.030087081,0.031570396,0.025838274,0.026177046,,0.48379072,1.153540723,0.009250399,4.91E-09,1.06E-11
268,0,0.007799745,0.029663089,0.031131459,0.025462181,0.025798265,,0.480234203,1.146516663,0.009075248,4.46E-09,9.40E-12
269,0,0.007658726,0.029246552,0.030700167,0.025092869,0.025426283,,0.476716931,1.139561296,0.008903921,4.05E-09,8.29E-12
270,0,0.007520723,0.028837313,0.030276361,0.024730193,0.025060956,,0.473238328,1.132673697,0.008736323,3.67E-09,7.32E-12
271,0,0.007385663,0.028435219,0.029859884,0.02437401,0.024702141,,0.469797829,1.12585296,0.008572361,3.33E-09,6.46E-12
272,0,0.007253472,0.028040121,0.029450584,0.024024181,0.024349699,,0.466394876,1.119098193,0.008411946,0.000000003,5.71E-12
273,0,0.00712408,0.027651873,0.029048312,0.023680573,0.024003496,,0.463028925,1.112408518,0.008254991,2.75E-09,5.04E-12
274,0,0.006997419,0.027270333,0.028652925,0.023343052,0.0236634,,0.45969944,1.105783072,0.008101411,2.49E-09,4.45E-12
275,0,0.006873423,0.026895362,0.028264281,0.023011491,0.023329283,,0.456405895,1.099221009,0.007951124,2.26E-09,3.93E-12
276,0,0.006752026,0.026526825,0.02788224,0.022685764,0.023001018,,0.453147774,1.092721494,0.00780405,2.05E-09,3.46E-12
277,0,0.006633167,0.026164589,0.02750667,0.022365748,0.022678484,,0.449924568,1.086283709,0.00766011,1.86E-09,3.06E-12
278,0,0.006516782,0.025808526,0.027137438,0.022051325,0.022361562,,0.446735781,1.079906846,0.00751923,1.69E-09,2.70E-12
279,0,0.006402814,0.025458509,0.026774415,0.021742378,0.022050135,,0.443580923,1.073590114,0.007381334,1.54E-09,2.38E-12
280,1,0.006291205,0.025114416,0.026417477,0.021438794,0.021744089,,0.440459512,1.067332733,0.007246352,1.39E-09,2.10E-12
