Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
3005,0,0.014436626,0.012505061,0.013837874,0.003686236,0.003335958,,0.12979954,0.217851402,0.000636957,6.24E-19,3.73E-57
3006,0,0.014425073,0.012494865,0.013826747,0.003682663,0.00333266,,0.129729356,0.217744278,0.000636069,6.15E-19,3.56E-57
3007,0,0.014413534,0.01248468,0.013815632,0.003679094,0.003329367,,0.129659233,0.217637241,0.000635182,6.06E-19,3.40E-57
3008,0,0.014402008,0.012474508,0.01380453,0.00367553,0.003326078,,0.129589172,0.217530293,0.000634297,5.97E-19,3.25E-57
3009,0,0.014390495,0.012464347,0.01379344,0.003671971,0.003322793,,0.129519172,0.217423432,0.000633413,5.88E-19,3.10E-57
3010,0,0.014378994,0.012454197,0.013782363,0.003668417,0.003319513,,0.129449233,0.21731666,0.000632531,5.79E-19,2.96E-57
3011,0,0.014367507,0.01244406,0.013771299,0.003664867,0.003316237,,0.129379354,0.217209975,0.000631651,5.70E-19,2.83E-57
3012,0,0.014356033,0.012433934,0.013760247,0.003661321,0.003312965,,0.129309537,0.217103379,0.000630771,5.61E-19,2.70E-57
3013,0,0.014344571,0.012423819,0.013749208,0.00365778,0.003309698,,0.129239781,0.21699687,0.000629894,5.53E-19,2.58E-57
3014,0,0.014333123,0.012413716,0.013738181,0.003654244,0.003306435,,0.129170085,0.216890448,0.000629018,5.45E-19,2.47E-57
3015,0,0.014321688,0.012403625,0.013727167,0.003650713,0.003303176,,0.12910045,0.216784114,0.000628143,5.36E-19,2.36E-57
3016,0,0.014310265,0.012393545,0.013716165,0.003647186,0.003299922,,0.129030875,0.216677868,0.00062727,5.28E-19,2.25E-57
3017,0,0.014298855,0.012383476,0.013705175,0.003643663,0.003296672,,0.128961361,0.216571708,0.000626398,5.20E-19,2.15E-57
3018,0,0.014287458,0.012373419,0.013694198,0.003640145,0.003293426,,0.128891908,0.216465636,0.000625527,5.12E-19,2.05E-57
3019,0,0.014276074,0.012363374,0.013683234,0.003636632,0.003290184,,0.128822515,0.216359651,0.000624659,5.05E-19,1.96E-57
3020,0,0.014264703,0.01235334,0.013672282,0.003633123,0.003286947,,0.128753182,0.216253753,0.000623791,4.97E-19,1.87E-57
3021,0,0.014253345,0.012343318,0.013661342,0.003629619,0.003283713,,0.12868391,0.216147941,0.000622925,4.90E-19,1.79E-57
